Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
65,Sassuolo,it ITA,11,38,9,16,13,53,60,-7,43,1.13,48.5,57.4,-8.9,-0.23,12369,Domenico Berardi - 8,Andrea Consigli
66,Udinese,it ITA,12,38,11,10,17,39,53,-14,43,1.13,42.5,59.7,-17.2,-0.45,20414,Rodrigo De Paul - 9,Juan Musso
67,SPAL,it ITA,13,38,11,9,18,44,56,-12,42,1.11,43.9,51.3,-7.3,-0.19,14745,Andrea Petagna - 16,Alfred Gomis
68,Fiorentina,it ITA,16,38,8,17,13,47,45,+2,41,1.08,54.0,41.0,+13.0,+0.34,31178,Marco Benassi - 7,Alban Lafont
69,Bordeaux,fr FRA,14,38,10,11,17,34,42,-8,41,1.08,39.7,53.5,-13.7,-0.36,20838,François Kamano - 10,Benoît Costil
70,Celta Vigo,es ESP,17,38,10,11,17,53,62,-9,41,1.08,46.5,60.9,-14.4,-0.38,17603,Iago Aspas - 20,Rubén Blanco
71,Cagliari,it ITA,15,38,10,11,17,36,54,-18,41,1.08,42.1,62.1,-20.0,-0.53,15396,Leonardo Pavoletti - 16,Alessio Cragno
72,Valladolid,es ESP,16,38,10,11,17,32,51,-19,41,1.08,41.1,58.5,-17.5,-0.46,18992,Enes Ünal - 6,Jordi Masip
73,Parma,it ITA,14,38,10,11,17,41,61,-20,41,1.08,40.2,65.3,-25.1,-0.66,16522,Gervinho - 11,Luigi Sepe
74,Freiburg,de GER,13,34,8,12,14,46,61,-15,36,1.06,40.9,61.1,-20.2,-0.60,23894,Nils Petersen - 10,Alexander Schwolow
75,Burnley,eng ENG,15,38,11,7,20,45,68,-23,40,1.05,44.4,62.1,-17.7,-0.47,20534,Ashley Barnes - 12,Tom Heaton Joe Hart
76,Southampton,eng ENG,16,38,9,12,17,45,65,-20,39,1.03,46.9,55.1,-8.2,-0.22,30139,Danny Ings James Ward-Prowse - 7,Alex McCarthy
77,Genoa,it ITA,17,38,8,14,16,39,57,-18,38,1.00,46.9,53.3,-6.4,-0.17,20950,Krzysztof Piątek - 13,Ionuț Radu
78,Empoli,it ITA,18,38,10,8,20,51,70,-19,38,1.00,52.4,63.6,-11.3,-0.30,9620,Francesco Caputo - 16,Ivan Provedel
79,Amiens,fr FRA,15,38,9,11,18,31,52,-21,38,1.00,35.4,49.8,-14.5,-0.38,11043,Moussa Konaté - 7,Régis Gurtner
80,Toulouse,fr FRA,16,38,8,14,16,35,57,-22,38,1.00,45.7,56.4,-10.7,-0.28,16224,Max Gradel - 11,Baptiste Reynet
81,Girona,es ESP,18,38,9,10,19,37,53,-16,37,0.97,43.5,52.7,-9.2,-0.24,10948,Cristhian Stuani - 19,Yassine Bounou
82,Schalke 04,de GER,14,34,8,9,17,37,55,-18,33,0.97,45.6,50.1,-4.5,-0.13,60941,Daniel Caligiuri - 7,Alexander Nübel
83,Monaco,fr FRA,17,38,8,12,18,38,57,-19,36,0.95,47.4,50.2,-2.8,-0.07,8447,Radamel Falcao - 15,Diego Benaglio
84,Brighton,eng ENG,17,38,9,9,20,35,60,-25,36,0.95,35.3,59.1,-23.8,-0.63,30426,Glenn Murray - 13,Mathew Ryan
85,Augsburg,de GER,15,34,8,8,18,51,71,-20,32,0.94,45.3,61.1,-15.8,-0.46,28623,Alfreð Finnbogason - 10,Gregor Kobel
86,Dijon,fr FRA,18,38,9,7,22,31,60,-29,34,0.89,39.8,58.2,-18.5,-0.49,13044,Júlio Tavares - 5,Rúnar Alex Rúnarsson
87,Cardiff City,eng ENG,18,38,10,4,24,34,69,-35,34,0.89,42.4,61.5,-19.1,-0.50,31408,Bobby Reid Víctor Camarasa - 5,Neil Etheridge
88,Huesca,es ESP,19,38,7,12,19,43,65,-22,33,0.87,50.8,60.2,-9.4,-0.25,6605,Ezequiel Ávila - 10,Roberto Santamaría
89,Caen,fr FRA,19,38,7,12,19,29,54,-25,33,0.87,31.0,63.8,-32.8,-0.86,16654,Enzo Crivelli Casimir Ninga - 6,Brice Samba
90,Rayo Vallecano,es ESP,20,38,8,8,22,41,70,-29,32,0.84,48.7,60.0,-11.3,-0.30,11928,Raúl de Tomás - 14,Stole Dimitrievski
91,Stuttgart,de GER,16,34,7,7,20,32,70,-38,28,0.82,38.0,58.2,-20.1,-0.59,54577,Mario Gómez - 7,Ron-Robert Zieler
92,Guingamp,fr FRA,20,38,5,12,21,28,68,-40,27,0.71,40.4,53.4,-12.9,-0.34,14731,Marcus Thuram - 9,Marc-Aurèle Caillard
93,Fulham,eng ENG,19,38,7,5,26,34,81,-47,26,0.68,41.3,68.2,-26.8,-0.71,24371,Aleksandar Mitrović - 11,Sergio Rico
94,Frosinone,it ITA,19,38,5,10,23,29,69,-40,25,0.66,38.9,62.0,-23.1,-0.61,12656,Camillo Ciano - 7,Marco Sportiello
95,Hannover 96,de GER,17,34,5,6,23,31,71,-40,21,0.62,37.2,67.8,-30.6,-0.90,38365,Hendrik Weydandt - 6,Michael Esser
96,Nürnberg,de GER,18,34,3,10,21,26,68,-42,19,0.56,35.7,52.9,-17.2,-0.51,40372,Mikael Ishak Hanno Behrens - 4,Christian Mathenia
97,Chievo,it ITA,20,38,2,14,22,25,75,-50,17,0.45,36.0,60.3,-24.3,-0.64,12142,Mariusz Stępiński - 6,Stefano Sorrentino
98,Huddersfield,eng ENG,20,38,3,7,28,22,76,-54,16,0.42,28.8,60.9,-32.2,-0.85,23203,Karlan Grant - 4,Jonas Lössl
